,heart_rate,tidal_volume_adjusted,cadence,step,activity,NN_interval,temperature_celcius,time,Activity
0,70,0,0,1,0,0.62,31.44722912,13:16:46,
1,70,0,0,1,0,0.607,31.49421597,13:16:47,
2,70,0,0,1,0,0.615,31.49421597,13:16:48,
3,70,0,0,1,0,0.624,31.49421597,13:16:49,
4,70,0,0,1,0,0.632,31.51771866,13:16:50,
5,70,0,0,1,0,0.631,31.51771866,13:16:51,
6,70,0,0,1,0,0.64,31.51771866,13:16:52,
7,70,707,0,1,0.0234375,0.652,31.51771866,13:16:53,
8,70,707,0,1,0.078125,0.647,31.54122755,13:16:54,
9,70,707,0,1,0.07421875,0.652,31.56474265,13:16:55,
10,70,1047,0,2,0.28515625,0.66,31.56474265,13:16:56,
11,104,1047,0,2,0.2421875,0.655,31.58826397,13:16:57,
12,104,1047,0,2,0.2265625,0.604,31.58826397,13:16:58,
13,104,965,0,2,0.15234375,0.607,31.58826397,13:16:59,
14,104,965,0,2,0.25390625,0.616,31.58826397,13:17:00,
15,104,965,0,2,0.21484375,0.611,31.61179154,13:17:01,dressing for garden work / prepare tools
16,104,965,0,2,0.09765625,0.612,31.61179154,13:17:02,dressing for garden work / prepare tools
17,105,965,0,3,0.125,0.627,31.63532536,13:17:03,dressing for garden work / prepare tools
18,100,965,0,3,0.10546875,0.627,31.63532536,13:17:04,dressing for garden work / prepare tools
19,96,965,0,3,0.02734375,0.648,31.63532536,13:17:05,dressing for garden work / prepare tools
20,92,1047,0,3,0.0546875,0.663,31.65886544,13:17:06,dressing for garden work / prepare tools
21,88,1047,0,3,0.16015625,0.692,31.63532536,13:17:07,dressing for garden work / prepare tools
22,88,1047,0,3,0.0703125,0.675,31.65886544,13:17:08,dressing for garden work / prepare tools
23,86,1047,0,3,0.18359375,0.688,31.65886544,13:17:09,dressing for garden work / prepare tools
24,86,788,0,3,0.25,0.703,31.68241181,13:17:10,dressing for garden work / prepare tools
25,86,788,0,4,0.17578125,0.687,31.68241181,13:17:11,dressing for garden work / prepare tools
26,86,788,0,4,0.171875,0.684,31.70596447,13:17:12,dressing for garden work / prepare tools
27,84,652,0,4,0.1484375,0.692,31.75308873,13:17:13,dressing for garden work / prepare tools
28,84,652,0,4,0.13671875,0.675,31.70596447,13:17:14,dressing for garden work / prepare tools
29,84,652,0,4,0.1640625,0.675,31.72952344,13:17:15,dressing for garden work / prepare tools
30,84,979,0,4,0.15625,0.676,31.72952344,13:17:16,dressing for garden work / prepare tools
31,84,979,0,5,0.13671875,0.667,31.72952344,13:17:17,dressing for garden work / prepare tools
32,84,979,0,5,0.12109375,0.66,31.75308873,13:17:18,dressing for garden work / prepare tools
33,80,897,0,5,0.14453125,0.655,31.75308873,13:17:19,dressing for garden work / prepare tools
34,81,897,0,5,0.1640625,0.659,31.75308873,13:17:20,dressing for garden work / prepare tools
35,78,897,0,5,0.16796875,0.66,31.77666037,13:17:21,dressing for garden work / prepare tools
36,76,1699,0,5,0.109375,0.66,31.77666037,13:17:22,dressing for garden work / prepare tools
37,80,1699,0,5,0.140625,0.655,31.77666037,13:17:23,dressing for garden work / prepare tools
38,81,1699,0,5,0.1640625,0.652,31.80023836,13:17:24,dressing for garden work / prepare tools
39,79,911,0,5,0.12109375,0.652,31.80023836,13:17:25,dressing for garden work / prepare tools
40,79,911,0,5,0.1328125,0.644,31.80023836,13:17:26,dressing for garden work / prepare tools
41,78,911,0,5,0.05078125,0.632,31.82382271,13:17:27,dressing for garden work / prepare tools
42,78,979,0,5,0.1171875,0.647,31.82382271,13:17:28,dressing for garden work / prepare tools
43,75,979,0,5,0.0625,0.644,31.84741344,13:17:29,dressing for garden work / prepare tools
44,79,979,0,5,0.0546875,0.655,31.82382271,13:17:30,dressing for garden work / prepare tools
45,79,475,0,5,0.03125,0.668,31.84741344,13:17:31,dressing for garden work / prepare tools
46,79,475,0,5,0.02734375,0.672,31.84741344,13:17:32,dressing for garden work / prepare tools
47,79,475,0,5,0.0234375,0.672,31.84741344,13:17:33,dressing for garden work / prepare tools
48,80,475,0,5,0.0234375,0.683,31.89461411,13:17:34,dressing for garden work / prepare tools
49,85,1169,0,5,0.0390625,0.695,31.89461411,13:17:35,dressing for garden work / prepare tools
50,85,1169,0,5,0.0234375,0.688,31.87101057,13:17:36,dressing for garden work / prepare tools
51,91,1169,0,5,0.02734375,0.692,31.87101057,13:17:37,dressing for garden work / prepare tools
52,91,707,0,5,0.046875,0.695,31.89461411,13:17:38,dressing for garden work / prepare tools
53,94,707,0,5,0.05078125,0.688,31.89461411,13:17:39,dressing for garden work / prepare tools
54,94,707,0,5,0.09765625,0.683,31.87101057,13:17:40,dressing for garden work / prepare tools
55,94,1278,0,5,0.0859375,0.651,31.89461411,13:17:41,dressing for garden work / prepare tools
56,97,1278,0,5,0.09375,0.66,31.91822408,13:17:42,dressing for garden work / prepare tools
57,98,1278,0,5,0.09765625,0.655,31.91822408,13:17:43,dressing for garden work / prepare tools
58,97,598,0,5,0.08203125,0.652,31.91822408,13:17:44,dressing for garden work / prepare tools
59,92,598,0,5,0.1015625,0.66,31.91822408,13:17:45,dressing for garden work / prepare tools
60,88,598,0,5,0.08984375,0.687,31.89461411,13:17:46,dressing for garden work / prepare tools
61,84,557,0,5,0.015625,0.7,31.96546334,13:17:47,dressing for garden work / prepare tools
62,81,557,0,5,0.015625,0.708,31.94184048,13:17:48,dressing for garden work / prepare tools
63,82,557,0,5,0,0.727,31.96546334,13:17:49,dressing for garden work / prepare tools
64,78,557,0,5,0.015625,0.72,31.96546334,13:17:50,dressing for garden work / prepare tools
65,77,788,0,5,0.05859375,0.711,31.96546334,13:17:51,dressing for garden work / prepare tools
66,73,788,0,5,0.078125,0.716,31.98909266,13:17:52,dressing for garden work / prepare tools
67,73,788,0,5,0.0859375,0.711,31.98909266,13:17:53,dressing for garden work / prepare tools
68,69,883,0,5,0.125,0.695,31.98909266,13:17:54,dressing for garden work / prepare tools
69,67,883,0,6,0.109375,0.683,31.98909266,13:17:55,dressing for garden work / prepare tools
70,67,883,0,6,0.046875,0.683,31.94184048,13:17:56,dressing for garden work / prepare tools
71,63,979,0,6,0.0625,0.68,32.01272847,13:17:57,dressing for garden work / prepare tools
72,63,979,0,6,0.04296875,0.683,32.03637077,13:17:58,dressing for garden work / prepare tools
73,63,979,0,6,0,0.748,32.01272847,13:17:59,dressing for garden work / prepare tools
74,63,979,0,6,0,0.755,32.03637077,13:18:00,dressing for garden work / prepare tools
75,63,870,0,6,0,0.751,32.01272847,13:18:01,dressing for garden work / prepare tools
76,62,870,0,6,0,0.764,32.01272847,13:18:02,dressing for garden work / prepare tools
77,62,870,0,6,0,0.811,32.03637077,13:18:03,dressing for garden work / prepare tools
78,62,734,0,6,0.015625,0.8,32.03637077,13:18:04,dressing for garden work / prepare tools
79,62,734,0,6,0,0.795,32.06001958,13:18:05,dressing for garden work / prepare tools
80,61,734,0,6,0.015625,0.812,32.03637077,13:18:06,dressing for garden work / prepare tools
81,61,734,0,6,0.04296875,0.811,32.06001958,13:18:07,dressing for garden work / prepare tools
82,61,734,0,6,0.0234375,0.804,32.06001958,13:18:08,dressing for garden work / prepare tools
83,61,1332,0,6,0.03125,0.672,32.06001958,13:18:09,dressing for garden work / prepare tools
84,60,1332,0,6,0.015625,0.68,32.08367492,13:18:10,dressing for garden work / prepare tools
85,60,1332,0,6,0,0.675,32.13100522,13:18:11,dressing for garden work / prepare tools
86,60,1332,0,6,0.015625,0.695,32.13100522,13:18:12,dressing for garden work / prepare tools
87,60,639,0,6,0.015625,0.703,32.10733679,13:18:13,dressing for garden work / prepare tools
88,60,639,0,6,0.01953125,0.696,32.10733679,13:18:14,dressing for garden work / prepare tools
89,61,639,0,6,0.015625,0.707,32.08367492,13:18:15,dressing for garden work / prepare tools
