,heart_rate,tidal_volume_adjusted,cadence,step,activity,NN_interval,temperature_celcius,time,Activity
0,70,0,0,0,0,1.255,35.3680767,15:23:27,computer (files comparison W: vs LL)
1,70,0,0,0,0,1.307,35.3680767,15:23:28,computer (files comparison W: vs LL)
2,70,0,0,0,0,1.272,35.3680767,15:23:29,computer (files comparison W: vs LL)
3,70,652,0,0,0.03515625,1.288,35.3680767,15:23:30,computer (files comparison W: vs LL)
4,70,652,0,0,0.109375,1.319,35.3680767,15:23:31,computer (files comparison W: vs LL)
5,70,652,0,1,0.18359375,1.256,35.3680767,15:23:32,computer (files comparison W: vs LL)
6,70,652,0,3,0.2421875,1.223,35.3680767,15:23:33,computer (files comparison W: vs LL)
7,70,938,0,4,0.23046875,1.251,35.3680767,15:23:34,computer (files comparison W: vs LL)
8,70,938,0,6,0.2421875,1.231,35.3680767,15:23:35,computer (files comparison W: vs LL)
9,70,815,0,6,0.19140625,1.228,35.3680767,15:23:36,computer (files comparison W: vs LL)
10,94,815,0,6,0.19140625,1.251,35.3680767,15:23:37,computer (files comparison W: vs LL)
11,92,815,0,6,0.0859375,1.248,35.3680767,15:23:38,computer (files comparison W: vs LL)
12,92,815,0,6,0.01953125,1.259,35.3927714,15:23:39,computer (files comparison W: vs LL)
13,91,720,0,6,0.015625,1.243,35.3680767,15:23:40,computer (files comparison W: vs LL)
14,91,720,0,6,0,1.168,35.3680767,15:23:41,computer (files comparison W: vs LL)
15,89,720,0,6,0.05078125,1.247,35.3433907,15:23:42,computer (files comparison W: vs LL)
16,89,747,0,6,0.015625,1.323,35.3680767,15:23:43,computer (files comparison W: vs LL)
17,89,747,0,6,0.015625,1.275,35.3927714,15:23:44,computer (files comparison W: vs LL)
18,89,625,0,6,0.03125,1.216,35.3680767,15:23:45,computer (files comparison W: vs LL)
19,89,625,0,6,0.03515625,1.256,35.3680767,15:23:46,computer (files comparison W: vs LL)
20,89,625,0,6,0.0546875,1.259,35.3927714,15:23:47,computer (files comparison W: vs LL)
21,89,625,0,6,0.015625,1.187,35.3680767,15:23:48,computer (files comparison W: vs LL)
22,88,992,0,6,0.015625,1.248,35.3680767,15:23:49,computer (files comparison W: vs LL)
23,88,992,0,6,0.015625,1.24,35.3680767,15:23:50,computer (files comparison W: vs LL)
24,88,992,0,6,0.015625,1.283,35.3433907,15:23:51,computer (files comparison W: vs LL)
25,91,1128,0,6,0.05859375,1.264,35.3680767,15:23:52,computer (files comparison W: vs LL)
26,91,1128,0,6,0.015625,1.247,35.3680767,15:23:53,computer (files comparison W: vs LL)
27,91,1128,0,6,0.01953125,1.264,35.3680767,15:23:54,computer (files comparison W: vs LL)
28,92,815,0,6,0.1015625,1.283,35.3680767,15:23:55,computer (files comparison W: vs LL)
29,92,815,0,6,0.14453125,1.22,35.3680767,15:23:56,computer (files comparison W: vs LL)
30,93,1455,0,8,0.234375,1.299,35.3680767,15:23:57,computer (files comparison W: vs LL)
31,90,1455,0,9,0.2109375,1.272,35.3680767,15:23:58,computer (files comparison W: vs LL)
32,90,1455,0,11,0.25390625,1.207,35.3680767,15:23:59,computer (files comparison W: vs LL)
33,93,1577,0,12,0.24609375,1.252,35.3680767,15:24:00,computer (files comparison W: vs LL)
34,94,1577,0,13,0.16796875,1.236,35.3680767,15:24:01,computer (files comparison W: vs LL)
35,94,1577,0,13,0.15234375,1.18,35.3680767,15:24:02,computer (files comparison W: vs LL)
36,94,1033,0,13,0.140625,1.24,35.3680767,15:24:03,computer (files comparison W: vs LL)
37,94,1033,0,14,0.16015625,1.268,35.3680767,15:24:04,computer (files comparison W: vs LL)
38,94,1033,34,14,0.06640625,1.224,35.3680767,15:24:05,computer (files comparison W: vs LL)
39,94,1033,46,14,0.05078125,1.267,35.3680767,15:24:06,computer (files comparison W: vs LL)
40,92,1033,0,14,0.07421875,1.284,35.3680767,15:24:07,computer (files comparison W: vs LL)
41,92,1033,0,14,0.03515625,1.2,35.3680767,15:24:08,computer (files comparison W: vs LL)
42,92,2379,0,14,0.015625,1.2,35.3680767,15:24:09,computer (files comparison W: vs LL)
43,92,2379,0,14,0,1.231,35.3680767,15:24:10,computer (files comparison W: vs LL)
44,92,2379,0,14,0,1.259,35.3680767,15:24:11,computer (files comparison W: vs LL)
45,88,2379,0,14,0.0703125,1.131,35.3680767,15:24:12,computer (files comparison W: vs LL)
46,83,2379,0,14,0.0234375,1.276,35.3680767,15:24:13,computer (files comparison W: vs LL)
47,83,2379,0,14,0,1.251,35.3680767,15:24:14,computer (files comparison W: vs LL)
48,79,2379,0,14,0,1.175,35.3433907,15:24:15,computer (files comparison W: vs LL)
49,79,2379,0,14,0,1.276,35.3680767,15:24:16,computer (files comparison W: vs LL)
50,74,2379,0,14,0,1.231,35.3680767,15:24:17,computer (files comparison W: vs LL)
51,74,2379,0,14,0,1.188,35.3680767,15:24:18,computer (files comparison W: vs LL)
52,74,938,0,14,0.0234375,1.104,35.41747482,15:24:19,computer (files comparison W: vs LL)
53,76,938,0,14,0.08984375,1.24,35.3680767,15:24:20,computer (files comparison W: vs LL)
54,80,1210,0,15,0.2734375,1.231,35.3680767,15:24:21,computer (files comparison W: vs LL)
55,80,1210,0,15,0.0859375,1.279,35.3680767,15:24:22,computer (files comparison W: vs LL)
56,80,1210,0,15,0.04296875,1.243,35.3680767,15:24:23,computer (files comparison W: vs LL)
57,80,1101,0,15,0.01953125,1.16,35.3433907,15:24:24,computer (files comparison W: vs LL)
58,80,1101,0,15,0.015625,1.208,35.3680767,15:24:25,computer (files comparison W: vs LL)
59,80,992,0,15,0.03515625,1.107,35.3680767,15:24:26,computer (files comparison W: vs LL)
60,81,992,0,15,0.01953125,1.003,35.3680767,15:24:27,computer (files comparison W: vs LL)
61,84,992,0,15,0,1.032,35.3433907,15:24:28,computer (files comparison W: vs LL)
62,83,843,0,15,0,1.211,35.3433907,15:24:29,computer (files comparison W: vs LL)
63,83,843,0,15,0,1.12,35.41747482,15:24:30,computer (files comparison W: vs LL)
64,82,843,0,15,0,1.127,35.3680767,15:24:31,computer (files comparison W: vs LL)
65,82,802,0,15,0,1.16,35.3433907,15:24:32,computer (files comparison W: vs LL)
66,82,802,0,15,0,1.064,35.3680767,15:24:33,computer (files comparison W: vs LL)
67,82,802,0,15,0,1.067,35.3433907,15:24:34,computer (files comparison W: vs LL)
68,82,666,0,15,0.0546875,1.096,35.31871338,15:24:35,computer (files comparison W: vs LL)
69,82,666,0,15,0,1.139,35.3680767,15:24:36,computer (files comparison W: vs LL)
70,78,666,0,15,0,1.092,35.3680767,15:24:37,computer (files comparison W: vs LL)
71,76,557,0,15,0,1.207,35.3680767,15:24:38,computer (files comparison W: vs LL)
72,75,557,0,15,0.01953125,1.24,35.3680767,15:24:39,computer (files comparison W: vs LL)
73,77,557,0,15,0.0859375,1.22,35.3680767,15:24:40,computer (files comparison W: vs LL)
74,77,557,0,15,0.0625,1.168,35.3680767,15:24:41,computer (files comparison W: vs LL)
75,77,2447,0,15,0.05078125,1.147,35.3927714,15:24:42,computer (files comparison W: vs LL)
76,74,2447,0,15,0.03125,1.211,35.3680767,15:24:43,computer (files comparison W: vs LL)
77,75,2447,0,15,0.07421875,1.22,35.3680767,15:24:44,computer (files comparison W: vs LL)
78,75,2447,0,15,0.046875,1.132,35.3680767,15:24:45,computer (files comparison W: vs LL)
79,74,761,0,15,0,1.179,35.3680767,15:24:46,computer (files comparison W: vs LL)
80,74,761,0,15,0.015625,1.204,35.31871338,15:24:47,computer (files comparison W: vs LL)
81,74,761,0,15,0,1.215,35.3433907,15:24:48,computer (files comparison W: vs LL)
82,75,992,0,15,0.0234375,1.096,35.3680767,15:24:49,computer (files comparison W: vs LL)
83,75,992,0,15,0.0390625,1.172,35.3680767,15:24:50,computer (files comparison W: vs LL)
84,75,992,0,15,0.0546875,1.179,35.3680767,15:24:51,computer (files comparison W: vs LL)
85,70,367,0,15,0.03125,1.24,35.3927714,15:24:52,computer (files comparison W: vs LL)
86,66,367,0,15,0.03125,1.307,35.3680767,15:24:53,computer (files comparison W: vs LL)
87,66,367,0,15,0.01953125,1.259,35.41747482,15:24:54,computer (files comparison W: vs LL)
88,65,367,0,15,0.03125,1.211,35.3680767,15:24:55,computer (files comparison W: vs LL)
89,65,367,0,15,0.06640625,1.199,35.3927714,15:24:56,computer (files comparison W: vs LL)
90,65,761,0,15,0.0234375,1.164,35.3927714,15:24:57,computer (files comparison W: vs LL)
91,65,761,0,15,0.0234375,1.159,35.3680767,15:24:58,computer (files comparison W: vs LL)
92,63,761,0,15,0.0859375,1.224,35.3680767,15:24:59,computer (files comparison W: vs LL)
93,60,1278,0,15,0.0859375,1.215,35.3433907,15:25:00,computer (files comparison W: vs LL)
94,60,1278,0,15,0.01953125,1.155,35.3433907,15:25:01,computer (files comparison W: vs LL)
95,60,475,0,15,0,1.228,35.31871338,15:25:02,computer (files comparison W: vs LL)
96,60,475,0,15,0,1.179,35.31871338,15:25:03,computer (files comparison W: vs LL)
97,60,475,0,15,0,1.204,35.29404472,15:25:04,computer (files comparison W: vs LL)
98,60,679,0,15,0.015625,1.215,35.29404472,15:25:05,computer (files comparison W: vs LL)
99,59,679,0,15,0.015625,1.175,35.31871338,15:25:06,computer (files comparison W: vs LL)
100,59,679,0,15,0,1.184,35.29404472,15:25:07,computer (files comparison W: vs LL)
101,59,679,0,15,0,1.219,35.31871338,15:25:08,computer (files comparison W: vs LL)
102,60,747,0,15,0.015625,1.22,35.29404472,15:25:09,computer (files comparison W: vs LL)
103,60,747,0,15,0.03125,1.211,35.26938472,15:25:10,computer (files comparison W: vs LL)
104,60,747,0,15,0.046875,1.259,35.26938472,15:25:11,computer (files comparison W: vs LL)
105,58,1169,0,15,0.015625,1.215,35.26938472,15:25:12,computer (files comparison W: vs LL)
106,58,1169,0,15,0.0546875,1.148,35.26938472,15:25:13,computer (files comparison W: vs LL)
107,58,1169,0,15,0.015625,1.2,35.26938472,15:25:14,computer (files comparison W: vs LL)
108,58,1169,0,15,0,1.083,35.26938472,15:25:15,computer (files comparison W: vs LL)
109,55,1387,0,15,0,1.052,35.24473335,15:25:16,computer (files comparison W: vs LL)
110,55,1387,0,15,0,1.088,35.24473335,15:25:17,computer (files comparison W: vs LL)
111,54,1387,0,15,0,1.111,35.24473335,15:25:18,computer (files comparison W: vs LL)
112,54,1387,0,15,0,1.052,35.24473335,15:25:19,computer (files comparison W: vs LL)
113,54,1387,0,15,0,1.152,35.26938472,15:25:20,computer (files comparison W: vs LL)
114,53,1264,0,15,0.0234375,1.147,35.26938472,15:25:21,computer (files comparison W: vs LL)
115,54,1264,0,15,0.01953125,1.148,35.26938472,15:25:22,computer (files comparison W: vs LL)
116,54,1264,0,15,0.04296875,1.139,35.26938472,15:25:23,computer (files comparison W: vs LL)
117,54,1264,0,15,0.0234375,1.192,35.26938472,15:25:24,computer (files comparison W: vs LL)
118,55,1264,0,15,0,1.08,35.24473335,15:25:25,computer (files comparison W: vs LL)
119,55,1142,0,15,0.015625,1.071,35.26938472,15:25:26,computer (files comparison W: vs LL)
120,54,1142,0,15,0,0.992,35.24473335,15:25:27,computer (files comparison W: vs LL)
121,54,1142,0,15,0,0.996,35.26938472,15:25:28,computer (files comparison W: vs LL)
122,54,1142,0,15,0,1.02,35.26938472,15:25:29,computer (files comparison W: vs LL)
123,54,911,0,15,0,1.047,35.24473335,15:25:30,computer (files comparison W: vs LL)
124,54,911,0,15,0,1.068,35.26938472,15:25:31,computer (files comparison W: vs LL)
125,53,911,0,15,0,1.055,35.26938472,15:25:32,computer (files comparison W: vs LL)
126,53,911,0,15,0,1.039,35.26938472,15:25:33,computer (files comparison W: vs LL)
127,52,734,0,15,0,1.02,35.26938472,15:25:34,computer (files comparison W: vs LL)
128,52,734,0,15,0,0.963,35.26938472,15:25:35,computer (files comparison W: vs LL)
129,52,734,0,15,0,1.072,35.26938472,15:25:36,computer (files comparison W: vs LL)
130,52,734,0,15,0,1.1,35.29404472,15:25:37,computer (files comparison W: vs LL)
